D01, 30-Jan-23, 8
D02, 30-Jan-23, 7
D03, 30-Jan-23, 8
D04, 30-Jan-23, 8
D05, 30-Jan-23, 8
D06, 30-Jan-23, 4
D07, 30-Jan-23, 8
D08, 30-Jan-23, 2
D09, 30-Jan-23, 8
D10, 30-Jan-23, 8
D11, 30-Jan-23, 8
D12, 30-Jan-23, 8
D13, 30-Jan-23, 10
D14, 30-Jan-23, 8
D15, 30-Jan-23, 8
D16, 30-Jan-23, 8
D17, 30-Jan-23, 12
D19, 30-Jan-23, 8
D20, 30-Jan-23, 1
D21, 30-Jan-23, 8
D23, 30-Jan-23, 8
D01, 31-Jan-23, 8
D02, 31-Jan-23, 4
D03, 31-Jan-23, 8
D04, 31-Jan-23, 8
D05, 31-Jan-23, 8
D06, 31-Jan-23, 6
D07, 31-Jan-23, 8
D08, 31-Jan-23, 8
D10, 31-Jan-23, 8
D11, 31-Jan-23, 10
D13, 31-Jan-23, 8
D14, 31-Jan-23, 8
D15, 31-Jan-23, 11
D17, 31-Jan-23, 8
D18, 31-Jan-23, 8
D19, 31-Jan-23, 3
D20, 31-Jan-23, 8
D21, 31-Jan-23, 8
D22, 31-Jan-23, 8
D23, 31-Jan-23, 8
D01, 01-Feb-23, 9
D02, 01-Feb-23, 8
D03, 01-Feb-23, 8
D04, 01-Feb-23, 5
D05, 01-Feb-23, 8
D06, 01-Feb-23, 8
D07, 01-Feb-23, 7
D08, 01-Feb-23, 8
D09, 01-Feb-23, 8
D10, 01-Feb-23, 8
D11, 01-Feb-23, 8
D12, 01-Feb-23, 8
D13, 01-Feb-23, 10
D14, 01-Feb-23, 8
D15, 01-Feb-23, 8
D16, 01-Feb-23, 8
D17, 01-Feb-23, 1
D18, 01-Feb-23, 8
D19, 01-Feb-23, 8
D20, 01-Feb-23, 8
D21, 01-Feb-23, 8
D22, 01-Feb-23, 4
D23, 01-Feb-23, 8
D02, 02-Feb-23, 8
D03, 02-Feb-23, 8
D04, 02-Feb-23, 8
D05, 02-Feb-23, 8
D06, 02-Feb-23, 3
D07, 02-Feb-23, 8
D08, 02-Feb-23, 8
D10, 02-Feb-23, 8
D11, 02-Feb-23, 8
D12, 02-Feb-23, 9
D13, 02-Feb-23, 8
D15, 02-Feb-23, 8
D16, 02-Feb-23, 8
D18, 02-Feb-23, 8
D19, 02-Feb-23, 6
D20, 02-Feb-23, 8
D21, 02-Feb-23, 8
D22, 02-Feb-23, 12
D01, 03-Feb-23, 8
D03, 03-Feb-23, 8
D04, 03-Feb-23, 8
D05, 03-Feb-23, 11
D06, 03-Feb-23, 8
D08, 03-Feb-23, 8
D09, 03-Feb-23, 8
D10, 03-Feb-23, 3
D11, 03-Feb-23, 8
D13, 03-Feb-23, 8
D14, 03-Feb-23, 8
D15, 03-Feb-23, 6
D16, 03-Feb-23, 8
D17, 03-Feb-23, 8
D18, 03-Feb-23, 8
D20, 03-Feb-23, 4
D21, 03-Feb-23, 8
D23, 03-Feb-23, 8
